,geometry,type,description
759,"LINESTRING (-105.898319505 36.317634799, -105.899649106 36.317245297, -105.900837302 36.316535093, -105.9013182 36.316351794, -105.902959302 36.316351399, -105.904288903 36.316076398, -105.905420505 36.315663897, -105.906353705 36.3147249, -105.906806402 36.314518698, -105.908334203 36.3144724, -105.910003304 36.314242899, -105.911672302 36.313669898, -105.912549302 36.313623898, -105.913737804 36.3138754, -105.9169349 36.314103194, -105.917557307 36.314011395, -105.921121605 36.3130484, -105.922196403 36.312544197, -105.923440702 36.311581895, -105.924091205 36.311146595, -105.925760001 36.310550496, -105.927513406 36.309702598, -105.928361803 36.309175499, -105.928700902 36.308625899, -105.929690503 36.307846896, -105.931217402 36.306861497, -105.931556605 36.3063576, -105.931725502 36.305235595, -105.931951404 36.304548495, -105.932431906 36.303975798, -105.933506407 36.303334199, -105.934495904 36.302532196, -105.935146406 36.302440293, -105.936249703 36.302600093, -105.937041603 36.3022791, -105.938087806 36.301706098, -105.9403219 36.300949298, -105.941057302 36.300788499, -105.941962503 36.300948299, -105.942584902 36.300947897, -105.943178706 36.300764397, -105.944027103 36.300328799, -105.944733806 36.2998247, -105.945326902 36.298908398, -105.945383005 36.298381798, -105.9457504 36.297877699, -105.946089804 36.297763094, -105.947843507 36.297761999, -105.948720306 36.297555298, -105.950671107 36.296729796, -105.9530458 36.295377299, -105.953667603 36.294896096, -105.954345606 36.294071294, -105.9557302 36.292788096, -105.956521802 36.292375498, -105.957256302 36.291390397, -105.957765006 36.291092299, -105.958811201 36.290748, -105.960761905 36.289876595, -105.963872202 36.289141499, -105.966529801 36.288246498, -105.967547804 36.288062498, -105.9685378 36.288176194, -105.969159901 36.288084194, -105.970686503 36.287556298, -105.971845903 36.287372194, -105.973852903 36.286591999, -105.9745875 36.286018997, -105.975011706 36.285812594, -105.975944802 36.285742998, -105.978434004 36.286130197, -105.980555907 36.286654994, -105.981149904 36.286677293, -105.981997907 36.286333099, -105.983128205 36.285507798, -105.984993502 36.284635894, -105.986181304 36.284611896, -105.986548901 36.284496993, -105.987227105 36.284152597, -105.988102905 36.283510193, -105.988215804 36.283349596, -105.989599906 36.282247193, -105.9901646 36.281672895, -105.9905321 36.281511799, -105.991747804 36.281257793, -105.995563507 36.279786296, -105.9974849 36.278822295, -105.999406002 36.277583897, -106.000576705 36.277033098)",tributary,Tributary river flows upstream of USGS-08290000
760,"LINESTRING (-106.301819406 36.214292996, -106.301283002 36.213903397, -106.300802805 36.213742994, -106.300124705 36.213742599, -106.299502902 36.213948295, -106.299022302 36.214314297, -106.298823901 36.215000995, -106.298569307 36.215344399, -106.298399702 36.215435795, -106.298117004 36.215550095, -106.297325805 36.215709999, -106.2962799 36.216235995)",tributary,Tributary river flows upstream of USGS-08290000
761,"LINESTRING (-106.296303004 36.221914195, -106.2961623 36.221295998, -106.296277903 36.218456797, -106.2962799 36.216235995)",tributary,Tributary river flows upstream of USGS-08290000
762,"LINESTRING (-106.290029503 36.290753499, -106.289294504 36.290340796, -106.288983904 36.289997198, -106.288871504 36.289264396, -106.288645506 36.289058194, -106.2877407 36.2888515, -106.287288606 36.288507797, -106.287175804 36.288141295, -106.287402801 36.287546195, -106.287289903 36.287317097, -106.287120402 36.287179597, -106.285989605 36.286789499, -106.285480902 36.286377095, -106.285340205 36.285827398, -106.285057403 36.285804294, -106.284576505 36.285918497, -106.284293801 36.285826698, -106.283559501 36.284978993, -106.282654606 36.284955397, -106.281553 36.283878393, -106.281044103 36.283717699, -106.280252405 36.2836942, -106.280054502 36.283625394, -106.279828504 36.283396199, -106.279631406 36.282686293, -106.279208004 36.281999096, -106.279180802 36.281106196, -106.278814107 36.280373193, -106.278786607 36.279754996, -106.278560705 36.2794571, -106.278561302 36.278976299, -106.278787903 36.278655894, -106.278759904 36.278426796, -106.278223105 36.278037198, -106.278223507 36.277739599, -106.278393306 36.277556598, -106.278421804 36.277373396, -106.278280705 36.277213, -106.277828507 36.276983693, -106.277970806 36.276319899, -106.277801506 36.275953397, -106.2778311 36.274900198)",tributary,Tributary river flows upstream of USGS-08290000
763,"LINESTRING (-106.2951454 36.321941197, -106.294183604 36.321711697, -106.293589704 36.321436495, -106.292882904 36.320932396, -106.292402506 36.320359595, -106.292148605 36.319718398, -106.292036004 36.319100194, -106.292122103 36.3179783, -106.292235605 36.317680694, -106.292832904 36.314521499, -106.292919002 36.313422494, -106.292325802 36.312597796, -106.292269804 36.311956696, -106.291732803 36.311475493, -106.291224606 36.310513593, -106.290659904 36.309551597, -106.289783902 36.308589295, -106.288709402 36.308176398, -106.2885684 36.307809994, -106.288229704 36.307054095, -106.288230203 36.3066421, -106.288513705 36.306069799, -106.288485706 36.305703498, -106.288316205 36.305520199, -106.2883735 36.304879196, -106.288090907 36.304672897, -106.288091205 36.304398194, -106.288176201 36.304237999, -106.288008101 36.302726597, -106.287866905 36.302520499, -106.287443005 36.302245498, -106.287443206 36.301947795, -106.287811406 36.301581696, -106.287868202 36.301352799, -106.287642106 36.301146597, -106.287161604 36.300917298, -106.286737606 36.300596394, -106.286427103 36.300023794, -106.286145501 36.298970394, -106.285552301 36.298305899, -106.285411306 36.297939494, -106.284789704 36.297320798, -106.283970706 36.296244197, -106.283405304 36.295991898, -106.283179402 36.295693994, -106.282981902 36.295258895, -106.2824452 36.2946174, -106.2813434 36.293608993, -106.280975804 36.293494299, -106.280183904 36.293562397, -106.2776682 36.292323999, -106.277272403 36.292186297, -106.276452102 36.292185597, -106.275858402 36.292024896, -106.275406204 36.291703999, -106.274982706 36.291154094, -106.274502203 36.290947698, -106.274163201 36.290718399, -106.273797303 36.289298497, -106.273656301 36.289069399, -106.272723302 36.288793899, -106.272469006 36.288610496, -106.272384405 36.288335696, -106.271932505 36.287877396, -106.271707006 36.287373498, -106.271396302 36.2871214, -106.270067804 36.286524899, -106.269135401 36.285814397, -106.267553002 36.284942798, -106.266620703 36.284255199, -106.266366206 36.284163296, -106.265885301 36.284254499, -106.2657158 36.284185596, -106.265462101 36.283612996, -106.265179604 36.283337995, -106.264473006 36.283085495, -106.2642188 36.282902099, -106.264191501 36.282260999, -106.263965607 36.281894393, -106.263966106 36.281596795, -106.264447607 36.281185098, -106.2641095 36.280223094, -106.264082305 36.279467493, -106.263941601 36.278986596, -106.2639421 36.278597295, -106.264621004 36.278437696, -106.2646496 36.278254494, -106.264310502 36.278025299, -106.264254406 36.277773395, -106.264367707 36.277635999, -106.265301205 36.277362198, -106.265329704 36.277156197, -106.265104003 36.276812494)",tributary,Tributary river flows upstream of USGS-08290000
764,"LINESTRING (-106.254975304 36.280374594, -106.255682305 36.280352399, -106.255908303 36.280558698, -106.256332107 36.280742295, -106.256586701 36.280719697, -106.256785005 36.280490793, -106.257040501 36.279781394, -106.257182106 36.279666997, -106.258002207 36.279644899, -106.258257002 36.279461995, -106.258765906 36.279462494, -106.259671405 36.279051296, -106.260011204 36.278730996, -106.260040104 36.2783418, -106.259927802 36.277769297, -106.2600132 36.277471796, -106.260409601 36.277105696, -106.261031806 36.276991896, -106.2615695 36.276671894, -106.262559302 36.276604094, -106.2632102 36.276306994, -106.263747603 36.276215993, -106.264171407 36.276399598, -106.264538601 36.276720397, -106.265104003 36.276812494)",tributary,Tributary river flows upstream of USGS-08290000
765,"LINESTRING (-106.242398702 36.394485198, -106.239793003 36.394373395, -106.239452906 36.394144796, -106.239282101 36.3935268, -106.238743402 36.393069394, -106.238063 36.3926351)",tributary,Tributary river flows upstream of USGS-08290000
766,"LINESTRING (-106.240629606 36.422992393, -106.241025805 36.422694296, -106.242044106 36.421685897, -106.2424687 36.421456493, -106.242439903 36.421090193, -106.242552802 36.4208382, -106.242580406 36.420334496, -106.242495105 36.420128599, -106.242351405 36.4188236, -106.242661007 36.417563997, -106.243339106 36.416441396, -106.243930802 36.414402999, -106.244014204 36.413441397, -106.244380705 36.4123649, -106.244408503 36.411929794, -106.244095601 36.411037199, -106.244064502 36.409297198, -106.243922107 36.408839293, -106.243609801 36.408358797, -106.242758803 36.407558396, -106.2423326 36.406688794, -106.241878703 36.406254299, -106.241792403 36.405407198, -106.241650201 36.404995196, -106.241054006 36.404125795, -106.240259901 36.403439693, -106.236971706 36.401473895, -106.2364612 36.401062295, -106.236290902 36.400810599, -106.236119404 36.399734594, -106.2355799 36.398819394, -106.235549204 36.397170894, -106.235065706 36.395728894, -106.235234305 36.394835696, -106.235347107 36.394538, -106.235629901 36.394285895, -106.236167707 36.394033499, -106.237129107 36.393070996, -106.238063 36.3926351)",tributary,Tributary river flows upstream of USGS-08290000
767,"LINESTRING (-106.284430504 36.389934398, -106.279105902 36.390525796, -106.278398201 36.390364997, -106.277662404 36.389975198, -106.277068406 36.389333598, -106.276304603 36.388737693, -106.274974301 36.388187096, -106.274719901 36.3878664, -106.2746353 36.387614496, -106.273899905 36.386927098, -106.273617804 36.3860339, -106.273363501 36.3856216, -106.273052402 36.385300696, -106.272684604 36.385071494, -106.271693803 36.3848188, -106.271241106 36.384566493, -106.2702794 36.383764394, -106.270109802 36.383466594, -106.269855306 36.383260295, -106.269402504 36.383076794, -106.269063301 36.382641494, -106.268780306 36.382458098, -106.266713805 36.382112794, -106.264845803 36.3815846, -106.264393203 36.381194897, -106.264223702 36.380942896, -106.2640827 36.380484894)",tributary,Tributary river flows upstream of USGS-08290000
768,"LINESTRING (-106.282973602 36.376127198, -106.281699203 36.376355298, -106.280679606 36.376743697, -106.280141503 36.376789093, -106.279064804 36.377429299, -106.278583303 36.377612196, -106.277054206 36.377679594, -106.275609501 36.3782508, -106.274986506 36.3784106, -106.273429006 36.378546797, -106.271531403 36.379025899, -106.270653002 36.379505999, -106.2696051 36.3797113, -106.268896706 36.380076997, -106.267424107 36.380304597, -106.265328601 36.380508795, -106.2640827 36.380484894)",tributary,Tributary river flows upstream of USGS-08290000
769,"LINESTRING (-106.232812904 36.464006394, -106.230938107 36.461169198, -106.230285406 36.460620098, -106.229746304 36.4603002, -106.229093604 36.459728397, -106.228610903 36.459064797, -106.228354901 36.458423994, -106.228211306 36.457073294, -106.228126206 36.457027599, -106.227812305 36.455470897, -106.227074102 36.454578698, -106.226931803 36.454029396, -106.2269876 36.453365199, -106.227383107 36.452471994, -106.2273819 36.451601997, -106.227069102 36.450800896, -106.226642802 36.449999996, -106.2247134 36.448261596, -106.223010801 36.446545899, -106.222471304 36.445790797, -106.222272307 36.445310198, -106.222271904 36.444943793)",tributary,Tributary river flows upstream of USGS-08290000
770,"LINESTRING (-106.242692605 36.455937199, -106.240368105 36.455573298, -106.237873204 36.455072097, -106.236767203 36.454592399, -106.235575803 36.453883797, -106.234951407 36.453334898, -106.234269604 36.452213697, -106.233361602 36.451458998, -106.2330487 36.450680897, -106.232622601 36.449971497, -106.228650704 36.446952894, -106.227742106 36.445580095, -106.227146201 36.445008196, -106.2265222 36.444665395, -106.225927003 36.444528498, -106.225331903 36.444483198, -106.224482 36.444667093, -106.222271904 36.444943793)",tributary,Tributary river flows upstream of USGS-08290000
771,"LINESTRING (-106.060044102 36.256761, -106.060213804 36.256669395, -106.060271002 36.256074198, -106.060101703 36.255593196, -106.060017906 36.254333794, -106.060274206 36.252135895)",tributary,Tributary river flows upstream of USGS-08290000
772,"LINESTRING (-106.061545007 36.253808096, -106.060923703 36.252891898, -106.060782805 36.252433799, -106.060613401 36.252204798, -106.060274206 36.252135895)",tributary,Tributary river flows upstream of USGS-08290000
773,"LINESTRING (-106.056499802 36.248649597, -106.056443505 36.248328894, -106.055539705 36.247298099, -106.0553139 36.246885896)",tributary,Tributary river flows upstream of USGS-08290000
774,"LINESTRING (-106.0553139 36.246885896, -106.054890007 36.246794)",tributary,Tributary river flows upstream of USGS-08290000
775,"LINESTRING (-106.059311107 36.254356399, -106.059085004 36.254287593, -106.057221003 36.252248697, -106.056102902 36.250023194, -106.055792503 36.249427699, -106.0554545 36.247893393, -106.054918006 36.247137494, -106.054890007 36.246794)",tributary,Tributary river flows upstream of USGS-08290000
776,"LINESTRING (-105.938410603 36.236128494, -105.938524306 36.236838296, -105.938835606 36.237227395, -105.940164804 36.238096699, -105.940900207 36.238668695, -105.941494405 36.239378199, -105.941466205 36.239492796, -105.941551104 36.239561394, -105.941636406 36.240087993, -105.942060806 36.240499899, -105.942456804 36.240820199, -105.942768306 36.241392493, -105.943362102 36.241621099, -105.945086606 36.241940595, -105.945708707 36.242192097, -105.9460482 36.242489494, -105.946642004 36.242718093, -105.946868405 36.243015699, -105.947264403 36.243267298, -105.948677801 36.243380897, -105.950289704 36.244020894, -105.950940304 36.244478494, -105.951138407 36.2447531, -105.951251902 36.245188095, -105.951591402 36.245439798, -105.953005202 36.245827995, -105.953401007 36.245827697, -105.954107501 36.245643996, -105.956708401 36.245962799, -105.957076006 36.246076994, -105.957387201 36.246328697, -105.957387902 36.246855296, -105.957614407 36.247290194, -105.957925603 36.247518897, -105.958462805 36.247541398, -105.959706202 36.247242793, -105.960526004 36.247265093, -105.962816305 36.247767098, -105.963410303 36.248018496, -105.964033 36.248659194, -105.964146301 36.248888098, -105.964599103 36.249253996, -105.965192705 36.249230698, -105.965757906 36.249046996, -105.966605403 36.248611294, -105.967001006 36.248496495, -105.967849106 36.248518698)",tributary,Tributary river flows upstream of USGS-08290000
777,"LINESTRING (-105.904722907 36.265998699, -105.905288704 36.266754195, -105.906222403 36.268196493, -105.9062507 36.268333897, -105.907099307 36.269020498, -105.907664903 36.269134894, -105.908145607 36.269157596, -105.909219906 36.268882498, -105.912415102 36.268744297, -105.913008906 36.2686067, -105.9145355 36.268079497, -105.918634802 36.266864493, -105.919878602 36.266222894, -105.921009406 36.265741594, -105.923780002 36.2653054, -105.925165504 36.265236199, -105.927908406 36.265738696, -105.929378606 36.265623599, -105.931442402 36.265187599, -105.9335628 36.264820196, -105.937124602 36.263719194, -105.938085601 36.263306595, -105.939216003 36.262573197, -105.940713905 36.2619313, -105.942947507 36.261838399, -105.944445707 36.2614941, -105.947159 36.260416299, -105.947695702 36.259980895, -105.948401406 36.258835599, -105.948740505 36.258560695, -105.949701406 36.258010499, -105.950464502 36.257803999, -105.952245407 36.257596694, -105.953178003 36.257183895, -105.953997307 36.256679595, -105.955607407 36.255258799, -105.958206803 36.253906094, -105.959365606 36.253516093, -105.961909503 36.2531479, -105.964735501 36.252138294, -105.965526402 36.251588196, -105.966599502 36.250579894, -105.967002906 36.250030696, -105.9672563 36.249274798, -105.967821106 36.248724796, -105.967849106 36.248518698)",tributary,Tributary river flows upstream of USGS-08290000
778,"LINESTRING (-106.304926805 36.215210497, -106.304898404 36.2153707, -106.304276504 36.215782493, -106.303485304 36.215873696, -106.302863605 36.215804696, -106.3024683 36.215483896, -106.301903807 36.214773796, -106.301819406 36.214292996)",tributary,Tributary river flows upstream of USGS-08290000
779,"LINESTRING (-106.304926805 36.215210497, -106.303260207 36.2148204, -106.302356303 36.214407794, -106.301819406 36.214292996)",tributary,Tributary river flows upstream of USGS-08290000
780,"LINESTRING (-106.312354505 36.219839297, -106.312071905 36.219747499, -106.310630903 36.219769694, -106.3048933 36.221644297, -106.303140804 36.222330295, -106.302292906 36.222512893, -106.301727802 36.222466797, -106.300287306 36.221824899, -106.2997787 36.221733093, -106.296783306 36.221937396, -106.296303004 36.221914195)",tributary,Tributary river flows upstream of USGS-08290000
781,"LINESTRING (-106.318783306 36.263707198, -106.318331301 36.263317697, -106.317653105 36.262882397, -106.317540102 36.262676299, -106.317455806 36.261966497, -106.317314707 36.261737496, -106.316693105 36.261279196, -106.316467203 36.260935694, -106.316015102 36.260569096, -106.315619506 36.260362893, -106.314771406 36.260087594, -106.3144041 36.2598814, -106.3138391 36.259423196, -106.312906504 36.259033494, -106.311578602 36.257979594, -106.311550505 36.257796399, -106.311211601 36.257246695, -106.311183706 36.256926194, -106.310844801 36.256445199, -106.310845204 36.256055996, -106.311241306 36.2557128, -106.311665803 36.2552092, -106.312316105 36.254980497, -106.312768705 36.254637294, -106.313108504 36.253950596, -106.313844003 36.253195494, -106.314013802 36.252920799, -106.314042501 36.252394199, -106.3136473 36.251775794, -106.313478105 36.2511805, -106.312715501 36.250401698, -106.312474504 36.250016093, -106.3125595 36.249718495, -106.312814102 36.249420896, -106.313012302 36.2489402, -106.312927604 36.2486884, -106.312504001 36.248230197, -106.312362902 36.247818097, -106.312279202 36.246375598, -106.3121664 36.246077895, -106.311431803 36.245482296, -106.311319001 36.245230399, -106.3112913 36.244360298, -106.310980901 36.243787795, -106.310981303 36.243192494, -106.311264306 36.242688999, -106.310812302 36.242253594, -106.310671404 36.2416583, -106.309908606 36.241405994, -106.309626006 36.241222695, -106.309626304 36.240810595, -106.3097395 36.240558796, -106.309739806 36.240123793, -106.309288003 36.239688598, -106.309288405 36.239184894, -106.309373401 36.238864399, -106.309317105 36.2385896, -106.309006304 36.238383397, -106.308215 36.238314293, -106.3076782 36.2380393, -106.306915201 36.237993099, -106.306463204 36.237649396, -106.305587307 36.237351298, -106.305276506 36.237099297, -106.305248506 36.236778796, -106.305333704 36.236343794, -106.305334203 36.235771395, -106.304345503 36.235061094, -106.303554803 36.234213494, -106.301266305 36.233479597, -106.300475404 36.233044095, -106.2998823 36.232494295, -106.2996566 36.232173599, -106.299600206 36.231921695, -106.299346201 36.231532395, -106.298300907 36.231234096, -106.298159704 36.231073797, -106.297793306 36.229928695, -106.296836101 36.225989997, -106.296641104 36.222898997, -106.296303004 36.221914195)",tributary,Tributary river flows upstream of USGS-08290000
782,"LINESTRING (-106.311178103 36.298528194, -106.310895406 36.298299, -106.310669504 36.297863893, -106.310641803 36.2971313, -106.310783602 36.296604797, -106.310840704 36.296032399, -106.310473606 36.295299396, -106.310049601 36.294978693, -106.308862202 36.294497199, -106.308212101 36.293924496, -106.307420507 36.293534793, -106.305243403 36.292778, -106.303660206 36.292067394, -106.302925304 36.291540198, -106.302388504 36.291036196, -106.301879704 36.290715396, -106.301172704 36.290554695, -106.300494201 36.290233798, -106.299278207 36.290210098, -106.298769206 36.290118195, -106.297751203 36.290094696, -106.297213703 36.290162995, -106.2954036 36.2901619, -106.294356905 36.290458798, -106.293989204 36.290458493, -106.293339007 36.290183395, -106.292688601 36.290137194, -106.290708207 36.290753998, -106.290029503 36.290753499)",tributary,Tributary river flows upstream of USGS-08290000
783,"LINESTRING (-106.308765702 36.3084637, -106.308454804 36.308142997, -106.307918005 36.307272695, -106.307381004 36.306814499, -106.306645706 36.306470595, -106.3056558 36.306218199, -106.302261703 36.305804096, -106.301243603 36.305574499, -106.3004236 36.305161893, -106.299830005 36.304657795, -106.298926607 36.302848496, -106.298898704 36.302413397, -106.299012303 36.302001297, -106.299154706 36.301016897, -106.299070105 36.300833695, -106.2980811 36.299802795, -106.297685601 36.299230196, -106.297629401 36.298840895, -106.297771402 36.298268594, -106.297658406 36.298062496, -106.297093101 36.297718696, -106.2960748 36.297740899, -106.294293404 36.297144398, -106.293133706 36.297143593, -106.292370506 36.296822496, -106.291267507 36.296661496, -106.290928304 36.296432294, -106.290702403 36.296088696, -106.290505104 36.295516193, -106.290534101 36.294806495, -106.290421605 36.294165298, -106.290252507 36.293730199, -106.290309407 36.293478295, -106.290649205 36.293089293, -106.290678702 36.291944496, -106.290085606 36.291142695, -106.290029503 36.290753499)",tributary,Tributary river flows upstream of USGS-08290000
784,"LINESTRING (-106.281142205 36.344140396, -106.280774407 36.3440485, -106.278794505 36.343016699, -106.276531205 36.342442498, -106.274380505 36.3422805, -106.2737865 36.342050999, -106.273164801 36.3413179, -106.272175401 36.340515599, -106.270620801 36.338957496, -106.269378506 36.336872697, -106.269011103 36.336506099, -106.268078104 36.335841395, -106.265221007 36.335014597, -106.263976902 36.334349498, -106.262054905 36.332699098, -106.2595414 36.329353996, -106.258693404 36.328734994, -106.2578732 36.328459494, -106.255213901 36.328067593, -106.253460705 36.327333197, -106.252584003 36.327080496, -106.250585005 36.326315194, -106.249112904 36.325812995, -106.248291604 36.325378895, -106.246620104 36.324052699, -106.245714203 36.323664397, -106.2452325 36.323275596, -106.244807102 36.322634995, -106.244212307 36.322223395, -106.242257506 36.320553899, -106.241463907 36.319638893, -106.241293706 36.3192956, -106.241291307 36.317647099, -106.241092503 36.3171665, -106.240695104 36.316296898, -106.240496807 36.316090994, -106.240411602 36.315862097, -106.240071602 36.315541893, -106.238966905 36.314604193, -106.237692803 36.313918598, -106.237069607 36.313438393, -106.236106001 36.312225796, -106.235624403 36.311768293, -106.235029802 36.311379597, -106.2337844 36.310831293, -106.233416304 36.310556799, -106.233302906 36.310350895, -106.233217105 36.309755594, -106.2334143 36.309183098, -106.234119505 36.307785794, -106.234514102 36.306686394, -106.234569706 36.306090996, -106.234313406 36.304831997, -106.234312505 36.304236598, -106.234706402 36.302656494, -106.2351299 36.302198097, -106.235779807 36.301670894, -106.235750705 36.301006995, -106.235835403 36.300915293, -106.236429304 36.300800197, -106.236824706 36.300433397, -106.238009706 36.298394598, -106.238093905 36.297936596, -106.2379805 36.297684796, -106.237979501 36.297066696, -106.238092005 36.296654396, -106.2388824 36.295554593, -106.239277005 36.294638298, -106.240831204 36.293675199, -106.241848201 36.292895697, -106.243175201 36.291314594, -106.2434569 36.290604495, -106.244021602 36.289962798, -106.244444706 36.289252594, -106.244528905 36.288794495, -106.2450369 36.288130097, -106.245602302 36.2879005, -106.245516203 36.287144996, -106.24577 36.286640994, -106.2456282 36.286412299, -106.245599501 36.286114596, -106.246051006 36.285541795, -106.246106401 36.284808993, -106.246501505 36.284259096, -106.246500202 36.283388995, -106.246782206 36.282907896, -106.2469787 36.281968996, -106.247232907 36.2817626, -106.248363703 36.281578295, -106.248843901 36.281234398, -106.249211304 36.2810736, -106.250087701 36.280958198, -106.250596501 36.280774496, -106.250817701 36.280759595, -106.251667105 36.280073598, -106.252742305 36.279685497, -106.253279902 36.279548593, -106.253619 36.279709198, -106.254212104 36.280167796, -106.254975304 36.280374594)",tributary,Tributary river flows upstream of USGS-08290000
785,"LINESTRING (-106.249743901 36.295841195, -106.249941006 36.295291498, -106.249940202 36.294787794, -106.249741703 36.294467494, -106.249739103 36.292864799, -106.249908701 36.292772897, -106.250587307 36.292680599, -106.250827402 36.292528294, -106.2508846 36.292116299, -106.250800602 36.291589595, -106.251027502 36.291108996, -106.250801802 36.290788196, -106.250745706 36.290536195, -106.251057602 36.290032893, -106.251115106 36.289414793, -106.251426905 36.288980097, -106.251371101 36.288544998, -106.251286305 36.288499095, -106.251343504 36.288064197, -106.251485206 36.287926897, -106.251457304 36.287652194, -106.251062103 36.287216693, -106.251034401 36.286850296, -106.251488201 36.286003597, -106.251545303 36.285637297, -106.251347803 36.2853624, -106.251461603 36.284881696, -106.251123406 36.284194395, -106.251208507 36.283942595, -106.251718201 36.283553995, -106.251860701 36.282867193, -106.252426803 36.282524399, -106.252625406 36.282112494, -106.253219806 36.281769596, -106.2534751 36.281334795, -106.254578702 36.280855, -106.254918404 36.280580595, -106.254975304 36.280374594)",tributary,Tributary river flows upstream of USGS-08290000
786,"LINESTRING (-106.261203207 36.414619997, -106.260326102 36.413863495, -106.260100201 36.413382597, -106.2599314 36.412512295, -106.259621106 36.411664896, -106.259083502 36.411206499, -106.258886106 36.410519496, -106.258377805 36.409534395, -106.257981807 36.409076095, -106.256992005 36.408090696, -106.256879106 36.407838799, -106.256994702 36.406190395, -106.256768502 36.405892596, -106.256202906 36.405411199, -106.25609 36.4050906, -106.256090701 36.404655397, -106.255893007 36.404243194, -106.255412601 36.403464198, -106.254507303 36.402753599, -106.254395202 36.402020797, -106.253999002 36.401745699, -106.253546506 36.401264496, -106.252810404 36.401103497, -106.252470903 36.400851294, -106.2523866 36.400439098, -106.251991302 36.399614394, -106.251057602 36.399041094, -106.250589602 36.398391798, -106.249994405 36.398140498, -106.249710701 36.397888996, -106.249540403 36.397591494, -106.249200001 36.397294298, -106.248321705 36.397066295, -106.2478965 36.396860696, -106.247471102 36.396471895, -106.246479504 36.396289796, -106.246139504 36.396175593, -106.245345503 36.395512499, -106.244637005 36.395215593, -106.243192203 36.3949195, -106.242398702 36.394485198)",tributary,Tributary river flows upstream of USGS-08290000
787,"LINESTRING (-106.293124601 36.417827293, -106.292899504 36.416201495, -106.292108104 36.414483897, -106.291344106 36.413704894, -106.288513906 36.411436297, -106.285966404 36.409763195, -106.284523003 36.408731796, -106.283900507 36.407998793, -106.282034107 36.405341595, -106.2810442 36.404218897, -106.2807336 36.403348595, -106.280507401 36.4030279, -106.2795735 36.402408995, -106.277507104 36.401354194, -106.274083406 36.398718499, -106.269697405 36.395806998, -106.269188002 36.395554796, -106.268366903 36.395439595, -106.264855102 36.3954136, -106.262675107 36.394976698, -106.261514403 36.394655094, -106.260552205 36.394196294, -106.257864103 36.392568097, -106.254496403 36.391053796, -106.252911702 36.390411198, -106.251750901 36.390203997, -106.2505759 36.3901264, -106.248452201 36.390197396, -106.244999602 36.3915748, -106.244065404 36.391827494, -106.243414603 36.3921258, -106.242735803 36.392653197, -106.242509805 36.393019795, -106.242312305 36.393615298, -106.242398702 36.394485198)",tributary,Tributary river flows upstream of USGS-08290000
788,"LINESTRING (-106.236957401 36.430208199, -106.237578802 36.428856693, -106.2380879 36.428306796, -106.238681301 36.427207097, -106.239388503 36.426473796, -106.239614204 36.4259241, -106.239753306 36.424252495, -106.240629606 36.422992393)",tributary,Tributary river flows upstream of USGS-08290000
789,"LINESTRING (-106.242827803 36.500020295, -106.242458105 36.499370493, -106.242372505 36.499050096, -106.2420597 36.498500898, -106.241577007 36.498135097, -106.240893401 36.496395595, -106.239785306 36.4952062, -106.2391304 36.493764594, -106.239157103 36.493031897, -106.239269704 36.492619596, -106.239324003 36.4914748, -106.238357507 36.490399599, -106.237843901 36.489003398, -106.2377588 36.488957696, -106.237502202 36.488316894, -106.237416305 36.487927794, -106.236277707 36.485914193, -106.234373406 36.483511895, -106.2342593 36.483099997, -106.234343402 36.482619099, -106.234541304 36.482321195, -106.236183703 36.481174894, -106.236806303 36.480533198, -106.236975707 36.480166696, -106.237002306 36.479090497, -106.237596005 36.478013895, -106.237934902 36.477189295, -106.238019302 36.476754196, -106.237307906 36.474969, -106.236711301 36.474099599, -106.236058302 36.473436296, -106.235261805 36.471605293, -106.235232905 36.471239097, -106.234947801 36.470186196, -106.234719604 36.4692019, -106.234407 36.468698494, -106.234037302 36.467851698, -106.234008104 36.4672793, -106.233837306 36.466775797, -106.233467907 36.466157995, -106.233182304 36.464624196, -106.232812904 36.464006394)",tributary,Tributary river flows upstream of USGS-08290000
790,"LINESTRING (-106.060100205 36.257310599, -106.060044102 36.256761)",tributary,Tributary river flows upstream of USGS-08290000
